collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,25,hybrid,cross-encoder,0.89,0.4275,0.5404,1664.0,3178.8,3269.4,0.54
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,50,hybrid,cross-encoder,0.94,0.4937,0.6001,3625.83,6298.13,6423.39,0.25
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,100,hybrid,cross-encoder,0.92,0.4759,0.5827,7712.99,12742.56,12798.79,0.12
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,25,hybrid,rrf,0.85,0.3799,0.4942,27.35,30.35,38.32,236.11
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,50,hybrid,rrf,0.85,0.4368,0.5384,27.62,31.86,37.07,243.18
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,100,hybrid,rrf,0.85,0.4504,0.5472,27.11,31.51,34.57,273.68
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,25,hybrid,rrf,0.88,0.4039,0.5181,27.54,31.85,43.11,258.65
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,50,hybrid,rrf,0.87,0.4394,0.5442,28.23,33.57,40.05,278.75
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,100,hybrid,rrf,0.89,0.4419,0.549,27.87,30.92,35.09,268.64
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,25,sparseonly,colbert,0.84,0.4308,0.5331,40.4,49.39,55.83,65.59
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,50,sparseonly,colbert,0.89,0.482,0.5826,40.77,48.86,55.15,65.89
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,100,sparseonly,colbert,0.87,0.4566,0.5595,42.7,49.73,56.86,66.07
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,25,sparseonly,colbert,0.85,0.4905,0.5795,40.19,45.79,112.94,65.87
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,50,sparseonly,colbert,0.89,0.4822,0.583,42.01,49.06,55.0,65.53
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,100,sparseonly,colbert,0.9,0.4711,0.5764,43.63,52.05,299.67,65.79
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,25,sparseonly,cross-encoder,0.85,0.41,0.5192,1854.87,3197.52,3581.69,0.53
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,50,sparseonly,cross-encoder,0.88,0.5056,0.5975,3834.86,6341.47,6506.65,0.25
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,100,sparseonly,cross-encoder,0.86,0.4857,0.5778,7139.43,12656.1,14305.09,0.12
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,25,sparseonly,cross-encoder,0.85,0.41,0.5192,1707.55,3125.71,3195.09,0.55
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,50,sparseonly,cross-encoder,0.91,0.5077,0.6051,4006.3,6317.68,6545.86,0.24
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,100,sparseonly,cross-encoder,0.91,0.4889,0.5901,7882.34,12644.32,12896.59,0.12
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,25,hybrid,colbert,0.85,0.5093,0.5935,44.68,76.65,143.23,53.46
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,50,hybrid,colbert,0.86,0.5009,0.5895,45.37,57.53,63.96,55.1
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,100,hybrid,colbert,0.87,0.4448,0.5502,47.19,61.47,65.59,59.04
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,25,hybrid,colbert,0.89,0.4974,0.5929,44.95,56.23,73.32,59.22
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,50,hybrid,colbert,0.89,0.4867,0.5848,45.93,57.11,75.04,53.26
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,100,hybrid,colbert,0.92,0.4336,0.5514,48.03,63.56,70.26,59.23
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,25,hybrid,cross-encoder,0.85,0.4498,0.5488,1246.13,3120.52,3454.42,0.56
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,50,hybrid,cross-encoder,0.86,0.4784,0.5726,3342.67,6360.52,6436.72,0.26
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,100,hybrid,cross-encoder,0.87,0.4582,0.5597,7723.24,12650.37,12950.9,0.12
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,25,hybrid,cross-encoder,0.9,0.463,0.569,1572.79,3104.64,3164.95,0.54
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,50,hybrid,cross-encoder,0.93,0.4878,0.5935,3468.78,6299.36,6522.76,0.25
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,100,hybrid,cross-encoder,0.93,0.4689,0.5797,8108.04,12623.39,12768.48,0.12
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,25,hybrid,rrf,0.82,0.3862,0.492,26.05,29.61,31.11,254.79
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,50,hybrid,rrf,0.82,0.4208,0.5177,26.79,29.76,41.67,290.5
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,100,hybrid,rrf,0.83,0.4175,0.5174,26.29,29.94,32.21,274.61
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,25,hybrid,rrf,0.9,0.3955,0.5154,25.94,30.23,38.86,278.36
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,50,hybrid,rrf,0.9,0.4377,0.5465,27.03,30.36,36.33,278.74
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,100,hybrid,rrf,0.88,0.4182,0.5278,27.42,36.22,42.67,272.04
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,25,sparseonly,colbert,0.85,0.4674,0.5623,42.97,53.19,61.5,66.1
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,50,sparseonly,colbert,0.89,0.4772,0.5795,45.76,58.31,68.08,60.07
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,100,sparseonly,colbert,0.88,0.47,0.5709,53.22,71.54,87.33,64.72
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,25,sparseonly,colbert,0.86,0.4647,0.5618,44.09,55.27,148.67,65.2
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,50,sparseonly,colbert,0.89,0.5244,0.6139,48.86,61.59,72.61,65.46
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,100,sparseonly,colbert,0.9,0.4538,0.5633,53.68,70.62,94.09,64.57
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,25,sparseonly,cross-encoder,0.85,0.4462,0.546,1814.52,3257.49,3565.14,0.57
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,50,sparseonly,cross-encoder,0.87,0.4322,0.5403,5674.36,7136.8,8541.74,0.2
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,10,100,sparseonly,cross-encoder,0.86,0.4524,0.5523,7107.49,12535.34,12838.8,0.13
