collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,100,hybrid,rrf,0.952,0.6491,0.7217,25.9,29.02,34.01,301.32
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,25,sparseonly,colbert,0.876,0.6778,0.7264,36.28,41.17,47.69,70.52
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,50,sparseonly,colbert,0.898,0.6877,0.7393,38.4,44.31,48.81,70.16
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,100,sparseonly,colbert,0.918,0.6998,0.7533,38.5,45.34,56.25,70.34
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,25,sparseonly,colbert,0.882,0.6785,0.7282,40.45,94.19,100.51,69.84
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,50,sparseonly,colbert,0.908,0.6885,0.7419,42.8,98.43,108.25,66.53
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,100,sparseonly,colbert,0.928,0.7006,0.7558,45.0,99.77,107.59,67.86
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,25,sparseonly,cross-encoder,0.876,0.6757,0.7249,375.52,958.37,1216.05,2.04
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1021.77,2076.02,2440.97,0.9
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,1908.47,3967.61,4632.35,0.45
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,25,sparseonly,cross-encoder,0.882,0.6762,0.7265,475.14,956.15,1121.53,2.04
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,972.03,2103.15,2490.25,0.9
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,1827.67,3996.24,4762.23,0.45
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,25,hybrid,colbert,0.948,0.7074,0.7663,41.6,49.94,57.33,63.14
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,50,hybrid,colbert,0.954,0.704,0.765,44.45,51.5,59.41,63.25
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,100,hybrid,colbert,0.946,0.7143,0.7708,48.58,57.21,66.33,62.45
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,25,hybrid,colbert,0.958,0.7048,0.7663,90.95,101.93,111.43,61.89
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,50,hybrid,colbert,0.97,0.7003,0.7652,90.37,101.14,109.21,62.61
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,100,hybrid,colbert,0.966,0.6987,0.763,92.32,110.44,143.52,60.83
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,25,hybrid,cross-encoder,0.95,0.7146,0.7722,324.68,796.95,1026.96,2.2
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,50,hybrid,cross-encoder,0.954,0.7146,0.7731,946.68,2060.37,2457.32,0.9
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,100,hybrid,cross-encoder,0.954,0.7159,0.7742,2500.62,4411.12,5338.78,0.38
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,25,hybrid,cross-encoder,0.958,0.7149,0.774,630.05,1039.97,1186.57,1.67
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,50,hybrid,cross-encoder,0.966,0.7155,0.7762,1558.6,2472.78,2932.58,0.74
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,100,hybrid,cross-encoder,0.976,0.7175,0.7798,3283.66,5000.33,6032.1,0.32
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,25,hybrid,rrf,0.918,0.6258,0.6968,25.71,30.39,35.82,275.87
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,50,hybrid,rrf,0.918,0.6324,0.7017,26.19,31.54,36.53,286.18
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,100,hybrid,rrf,0.918,0.6299,0.6998,25.92,31.78,36.14,274.28
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,25,hybrid,rrf,0.956,0.6272,0.7055,25.88,31.39,41.57,283.85
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,50,hybrid,rrf,0.956,0.6326,0.7095,26.4,31.91,36.79,254.06
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,100,hybrid,rrf,0.956,0.6316,0.7088,26.27,31.92,46.95,264.87
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,25,sparseonly,colbert,0.878,0.6806,0.7288,38.89,45.18,55.03,68.85
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,50,sparseonly,colbert,0.9,0.6811,0.7348,40.15,47.43,60.24,70.7
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,100,sparseonly,colbert,0.92,0.6913,0.7474,39.67,47.1,53.67,68.81
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,25,sparseonly,colbert,0.882,0.6601,0.7145,42.42,100.33,102.62,67.12
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,50,sparseonly,colbert,0.908,0.6847,0.739,42.8,98.98,100.94,70.21
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,100,sparseonly,colbert,0.926,0.7,0.7549,44.51,100.75,111.04,70.31
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,25,sparseonly,cross-encoder,0.876,0.6757,0.7249,690.66,1178.71,1466.26,1.45
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1427.77,2533.38,3149.66,0.78
test_product_x16,../qdrant-load/configs/config_product_x16.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,2604.77,3713.69,4259.65,0.41
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,25,sparseonly,cross-encoder,0.882,0.6762,0.7265,561.73,799.2,1062.36,1.65
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,1676.49,2575.58,3273.14,0.61
test_product_x16,../qdrant-load/configs/config_product_x16.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,3619.09,5269.75,5840.72,0.32
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,25,hybrid,colbert,0.946,0.7128,0.77,39.77,46.71,58.57,62.94
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,50,hybrid,colbert,0.95,0.7024,0.7632,41.01,48.51,62.07,63.11
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,100,hybrid,colbert,0.952,0.7074,0.7671,39.66,46.42,51.43,62.53
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,25,hybrid,colbert,0.96,0.7116,0.7719,89.52,101.36,160.31,62.14
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,50,hybrid,colbert,0.97,0.7119,0.7742,89.59,100.38,107.98,62.75
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,100,hybrid,colbert,0.97,0.7097,0.7727,89.82,101.09,110.95,62.98
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,25,hybrid,cross-encoder,0.95,0.7145,0.7721,644.15,1121.74,1322.22,1.44
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,50,hybrid,cross-encoder,0.954,0.7141,0.7727,1687.08,2430.78,2808.79,0.65
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,100,hybrid,cross-encoder,0.954,0.7159,0.7741,3440.06,5033.13,5904.24,0.31
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,25,hybrid,cross-encoder,0.96,0.7152,0.7747,740.45,1060.46,1304.43,1.45
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,50,hybrid,cross-encoder,0.966,0.715,0.7758,768.4,1910.31,2171.17,0.91
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,100,hybrid,cross-encoder,0.974,0.7173,0.7792,2356.78,4035.75,4490.15,0.42
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,25,hybrid,rrf,0.934,0.6458,0.7157,26.34,31.32,36.72,293.27
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,50,hybrid,rrf,0.932,0.6543,0.7215,26.5,30.36,35.49,280.35
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,100,hybrid,rrf,0.934,0.6448,0.7149,26.53,32.05,36.43,279.19
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,25,hybrid,rrf,0.954,0.6413,0.7164,25.77,30.76,37.65,254.35
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,50,hybrid,rrf,0.954,0.6463,0.7201,26.51,30.23,35.34,267.64
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,100,hybrid,rrf,0.952,0.6473,0.7203,27.27,32.33,39.16,288.96
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,25,sparseonly,colbert,0.878,0.6725,0.723,37.97,45.64,69.68,68.12
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,50,sparseonly,colbert,0.9,0.6858,0.7383,36.71,46.69,72.08,69.06
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,100,sparseonly,colbert,0.918,0.6989,0.7525,38.5,44.66,50.57,70.39
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,25,sparseonly,colbert,0.882,0.6706,0.7223,41.08,96.25,101.11,70.03
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,50,sparseonly,colbert,0.908,0.6853,0.7396,40.24,98.09,110.53,67.58
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,100,sparseonly,colbert,0.928,0.7069,0.7607,40.65,95.77,100.39,70.25
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,25,sparseonly,cross-encoder,0.876,0.6755,0.7248,473.07,983.86,1104.23,1.82
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1301.24,2137.94,2389.59,0.82
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,2500.06,4055.5,4471.77,0.41
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,25,sparseonly,cross-encoder,0.882,0.676,0.7264,594.16,967.76,1116.14,1.81
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,1328.94,2180.65,2593.66,0.81
test_scalar_int8,../qdrant-load/configs/config_scalar_int8.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,2239.96,4118.38,4768.42,0.42
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,25,hybrid,colbert,0.944,0.7069,0.7652,40.6,46.38,51.72,61.12
